Lat,Lon,Title,surname,name,birth,city birth,death,city death,gender
31.8980248,35.2033833,Palestinian,Halaby,Samia,1936,Jerusalem,--,--,female
32.6475314,54.5643516,Iran,Zenderoudi,Charles-Hossein,1937,Tehran,--,--,male
32.6475314,54.5643516,Iran,Pilaram,Faramarz,1937,Tehran,1982,Tehran,male
33.8439408,9.400138,Tunisia,Mahdaoui,Nja,1937,Tunis,--,--,male
32.6475314,54.5643516,Iran,Tanavoli,Parviz,1937,Tehran,--,--,male
25.6242618,42.3528328,Saudi Arabia,Kaabi,Saadi Al,1937,Najaf,--,--,male
32.6475314,54.5643516,Iran,Ajali,Ali,1937,Miani,--,--,male
26.2540493,29.2675469,Egypt,Hosny,Farouk,1938,Alexandria,--,--,male
33.8750629,35.843409,Lebanon,Madi,Hussein,1938,Cheba'a,--,--,male
33.0955793,44.1749775,Iraq,Fattah,Ismail,1938,Basra,--,--,male
33.0955793,44.1749775,Iraq,Said,Issam El,1938,Baghdad,1988,Newcastle,male
26.2540493,29.2675469,Egypt,Moity,Mostafa Abdel,1938,Alexandria,--,--,male
34.6401861,39.0494106,Syria,Naba'a,Nazir,1938,Damascus,--,--,male
32.6475314,54.5643516,Iran,Tabrizi,Sadegh,1938,Tehran,--,--,male
33.0955793,44.1749775,Iraq,Azzawi,Dia Al,1939,Baghdad,--,--,male
14.5844444,29.4917691,Sudan,Ibrahim,Kamala,1939,Omdurman,--,--,male
25.6242618,42.3528328,Saudi Arabia,Saleem ,Mohammad Al,1939,Marat,1996,Riyadh,male
32.6475314,54.5643516,Iran,Ehsai,Mohammed ,1939,Tehran,--,--,male
33.0955793,44.1749775,Iraq,Jumai,Saleh Al,1939,Siwaira,--,--,male
31.1667049,36.941628,Jordan,Hashemi,Wijdan Ali Al,1939,Amman,--,--,male
32.6475314,54.5643516,Iran,Kiarostami,Abbas,1940,Tehran,--,--,male
31.7621153,-95.6307891,Palestine,Shawa,Laila,1940,Gaza,--,--,male
33.0955793,44.1749775,Iraq,Nasiri,Rafa Al,1940,Tikrit,--,--,male
51.1638175,10.4478313,Germany,Fattah,Lisa,1941,Germany,1992,,male
31.7621153,-95.6307891,Palestine,Boullata,Kamal,1942,Jerusalem,--,--,male
31.7621153,-95.6307891,Palestine,Taha,Mahmoud,1942,Jaffa,--,--,male
32.6475314,54.5643516,Iran,Nodjoumi,Nicky,1942,Kermanshan,--,--,male
33.0955793,44.1749775,Iraq,Attar,Suad Al,1942,Baghdad,--,--,male
26.2540493,29.2675469,Egypt,Moustafa,Ahmed,1943,Alexandria,,,male
31.7621153,-95.6307891,Palestine,Jabri,Ali,1943,Jerusalem,,,male
31.1728205,-7.3362482,Morocco,Kacimi,Mohammed,1943,Meknes,,,male
31.7621153,-95.6307891,Palestine,Nusseibeh,Mounira,1943,Jerusalem,,,male
29.2733964,47.4979476,Kuwait,Saleh,Sami Mohammed Al,1943,Kuwait City,,,male
33.0955793,44.1749775,Iraq,Talib,Ali,1944,Basra,,,male
32.6475314,54.5643516,Iran,Jalali,Bahman,1944,Tehran,,,male
32.6475314,54.5643516,Iran,Lashai,Farideh,1944,Rasht,2013,,male
33.0955793,44.1749775,Iraq,Massoudy,Hassan,1944,Najaf,,,male
27.3652527,22.3646026,Lybia,Ermes,Ali Omar,1945,Tripoli,,,male
32.6475314,54.5643516,Iran,Shishegaran,Koorosh,1945,Ghazvin,,,male
31.1667049,36.941628,Jordan,Saudi,Mona,1945,Amman,,,male
31.1667049,36.941628,Jordan,Tabbaa,Samer,1945,Tair,,,male
33.8750629,35.843409,Lebanon,Sayegh,Samir Al,1945,Lebanon,,,male
36.5748441,139.2394179,Japan,Honda,Kouichi Fouad,1946,Tokyo,,,male
28.0000272,2.9999825,Algeria,Ben Bella,Mahjoub,1946,Maghinia,,,male
32.6475314,54.5643516,Iran,Hajizadeh,Ghasem,1947,Lahijan,,,male
28.0000272,2.9999825,Algeria,Koraichi,Rachid,1947,Ain Beida,,,male
34.6401861,39.0494106,Syria,Smoudi,Abdul Latif Al,1948,Damascus,,,male
16.3471243,47.8915271,Yemen,Futaih,Fuad Al,1948,Hoggeriyah,,,male
25.6242618,42.3528328,Saudi Arabia,Sabban,Taha Al,1948,Mecca,,,male
33.0955793,44.1749775,Iraq,Alwan,Jaber,1948,Babylon,--,--,male
33.8439408,9.400138,Tunisia,Triki,Gouider,1949,Nabeul,,,male
33.8750629,35.843409,Lebanon,Nahas,Nabil,1949,Beirut,,,male
21.0000287,57.0036901,Oman,Mahmoud,Rabha,1949,Oman,,,male
31.1728205,-7.3362482,Morocco,Bellamine,Fouad,1950,Fes,,,male
24.0002488,53.9994829,UAE,Raes,Abdul Qader Al,1951,Kuwait City,--,--,male
26.2540493,29.2675469,Egypt,Avedissian,Chant,1951,Cairo,2018,Cairo,male
28.0000272,2.9999825,Algeria,Tibouchi,Hamid,1951,Tibane,,,male
24.0002488,53.9994829,UAE,Sharif,Hassan,1951,Dubai,2016,Dubai,male
33.8439408,9.400138,Tunisia,Slimane,Khaled Ben,1951,Sousse,,,male
26.2540493,29.2675469,Egypt,Siwi,Adel,1952,Beheira,,,male
32.6475314,54.5643516,Iran,Espahbod,Alireza,1952,Tehran,2007,,male
